o,x,b,b,o,b,x,x,o,O win
b,o,x,o,b,x,b,b,x,X win
b,o,o,x,b,o,x,x,x,X win
o,b,x,x,b,x,o,o,x,X win
x,b,o,o,x,x,o,b,x,X win
o,x,x,o,o,x,x,o,x,X win
x,o,x,o,x,o,o,x,o,tie
b,x,o,o,x,o,x,x,b,X win
b,x,o,x,b,o,b,x,o,O win
x,b,x,o,o,o,x,b,b,O win
o,x,o,o,o,x,x,o,x,tie
o,o,x,x,x,o,o,x,x,tie
x,x,x,b,b,b,o,b,o,X win
x,b,o,o,x,b,b,b,x,X win
o,x,x,x,x,o,o,o,x,tie
b,b,x,o,o,x,o,x,x,X win
x,x,o,b,o,o,x,x,o,O win
o,x,o,o,x,x,x,o,x,tie
b,o,x,o,x,b,x,b,b,X win
o,o,o,o,x,x,x,x,b,O win
o,x,o,x,o,o,x,b,b,not finish
b,b,x,o,o,x,x,o,x,X win
o,x,x,o,b,b,o,x,b,O win
x,x,o,x,x,o,o,o,x,X win
o,x,o,x,o,x,x,o,x,tie
x,o,o,x,o,x,b,o,x,O win
o,x,x,b,o,b,x,b,o,O win
x,b,b,x,o,b,o,x,x,not finish
x,b,o,o,x,x,x,o,b,not finish
x,x,o,x,x,o,o,b,o,O win
x,x,o,o,o,x,x,o,o,tie
b,x,b,b,x,x,b,o,b,not finish
b,o,x,o,x,x,x,b,o,X win
o,x,o,x,o,o,x,o,x,tie
b,o,x,x,o,b,x,o,b,O win
x,x,b,x,o,x,o,o,o,O win
b,b,o,o,x,o,x,x,x,X win
x,b,o,x,o,b,o,x,b,O win
x,b,b,b,o,x,x,x,o,not finish
x,x,x,o,b,b,b,b,o,X win
x,x,x,o,o,b,b,o,x,X win
x,x,o,o,o,o,x,b,x,O win
o,o,b,b,o,x,x,x,x,X win
x,b,x,o,o,o,b,b,x,O win
o,o,x,x,x,x,o,o,x,X win
x,b,x,o,o,x,o,b,x,X win
x,x,x,b,x,o,o,b,o,X win
o,b,o,x,x,x,b,x,o,X win
o,o,x,x,x,o,o,o,x,tie
x,b,x,b,x,o,o,o,x,X win
x,x,b,o,o,o,b,x,b,O win
b,b,b,o,b,b,x,b,b,not finish
o,o,o,x,x,o,b,x,x,O win
o,x,o,b,o,x,b,o,x,not finish
x,b,x,b,b,x,o,o,o,O win
o,x,x,b,o,x,b,o,x,X win
x,x,b,x,o,o,x,o,b,X win
b,x,b,b,b,x,b,b,o,not finish
o,o,x,b,x,b,x,x,o,X win
x,o,b,b,x,b,b,o,x,X win
x,o,b,o,x,x,b,o,x,X win
b,x,x,o,o,o,x,b,b,O win
o,x,o,x,x,o,x,b,o,O win
x,o,x,x,o,o,o,x,o,tie
o,b,b,b,b,b,x,b,b,not finish
x,x,x,b,o,b,x,o,o,X win
o,b,b,x,o,b,x,x,o,O win
x,b,b,o,x,o,b,b,x,X win
x,o,o,o,x,x,o,x,o,tie
o,o,x,o,x,x,x,o,x,X win
x,x,x,o,b,b,x,o,o,X win
x,o,x,o,o,x,x,x,o,tie
b,b,o,b,b,b,x,b,b,not finish
o,b,x,b,b,b,b,o,b,not finish
x,b,o,x,x,x,o,o,b,X win
x,x,o,o,o,x,x,x,o,tie
o,b,o,x,x,x,o,b,x,X win
o,b,x,b,x,b,x,b,o,X win
b,b,x,b,x,o,x,o,b,X win
o,o,x,x,x,o,o,x,o,tie
o,o,x,x,x,b,x,o,b,X win
b,b,x,x,b,b,o,b,b,not finish
x,o,o,x,b,x,x,o,b,X win
x,b,o,x,x,x,o,b,o,X win
b,x,x,b,x,o,x,o,o,X win
x,b,o,x,b,x,x,o,o,X win
b,x,o,x,o,x,o,x,o,O win
o,b,x,x,x,o,x,o,b,X win
o,b,x,b,x,o,x,x,o,X win
o,x,o,b,x,o,x,b,x,not finish
b,o,o,o,x,x,x,o,b,not finish
b,b,b,x,x,x,o,b,o,X win
o,x,o,o,b,b,x,o,x,not finish
